id,first_name,last_name,email,phone,company,job_title,notes,is_favorite,created_at,updated_at
b2926c87-cfb0-4a8a-93af-1e817baaac27,Ruth,Griffiths,ruth.2824@example.test,+44 20 7946 0936,"White, Wilson and Newman",Account Manager,Assumenda in adipisci dolor magnam ad dicta officiis molestias dolore nihil repellat ab rem.,False,2026-07-22,2026-07-25
75344b30-8b87-46bb-831d-c187d723d3d7,Amelia,Oliver,amelia.4611@example.test,+44 20 7946 0258,Bryan-Andrews,Support Specialist,Aut fugit facere exercitationem eaque aliquam itaque commodi ullam aspernatur eos occaecati suscipit.,False,2025-07-31,2025-10-17
2da30ab2-a040-406b-8210-e9f00a0e4e1b,Linda,Mellor,linda.7924@example.test,+44 20 7946 0147,"Rees, Adams and Griffin",Sales Director,Sequi sint fugit iste rerum cum explicabo pariatur praesentium.,True,2026-01-16,2026-02-08
aaafc00b-498d-4330-aa16-b49f8941eee7,Jill,Miah,jill.7224@example.test,+44 20 7946 0714,"Thomson, Wilkinson and Smith",Software Engineer,Fugit voluptatibus odit nam placeat sapiente quod dolorem adipisci et eaque distinctio velit soluta et omnis id totam itaque.,False,2026-06-02,2026-07-23
99892de9-3169-4349-9adc-e6a7381e8db6,Arthur,Davidson,arthur.1711@example.test,+44 20 7946 0789,"Moore, Smith and Jackson",Finance Analyst,Id dolor voluptatum magni at aliquid autem occaecati recusandae in.,False,2026-02-06,2026-06-27
62163dad-b4d6-444d-9101-ed8d8548738d,Philip,Cooper,philip.5803@example.test,+44 20 7946 0369,"Turner, Hill and Coates",Operations Lead,Perspiciatis beatae suscipit quibusdam quisquam excepturi.,False,2025-08-20,2026-07-01
13f7de3f-51ff-4965-a05c-e84d12d7bf48,Billy,Williams,billy.4733@example.test,+44 20 7946 0123,Harper-Atkinson,Product Designer,Voluptas quis magni autem numquam sapiente.,False,2025-09-17,2026-02-07
6c0ef55e-e578-4964-b61a-5c4251ac8271,Kathleen,John,kathleen.5554@example.test,+44 20 7946 0825,Patel and Sons,Customer Success Manager,Veritatis ullam ullam nobis laborum beatae facilis voluptates rem dolores dolores necessitatibus aspernatur quasi repellendus voluptate minus commodi optio veniam.,True,2026-01-25,2026-07-15
4722b17c-4959-47f4-9547-d442929cc5ed,Roger,Pritchard,roger.5374@example.test,+44 20 7946 0481,"Davison, Kelly and Powell",Operations Lead,Quae id perferendis fuga tempore iste dolorum aperiam accusantium mollitia nihil.,False,2026-06-20,2026-07-15
816c3c38-7dc9-4789-8fb9-3af9ebfa10cb,Thomas,Hammond,thomas.4598@example.test,+44 20 7946 0592,"Howard, Townsend and Higgins",Finance Analyst,Architecto dolores pariatur distinctio consequatur vel.,True,2025-08-13,2026-01-05
2f71f953-ecb0-4608-8e63-1df73d30064c,Alexandra,Allen,alexandra.7572@example.test,+44 20 7946 0456,McKenzie Group,Product Designer,Atque omnis explicabo illum sint.,True,2026-05-14,2026-06-10
